scene,pair_id,gt_volume_cm3,dav2_gt_volume_cm3,dav2_volume_cm3,foundation_volume_cm3,opencv_volume_cm3
excavator_M,004,4940.0,,3901.8,1050.1,
excavator_M,005,4940.0,,5000.9,17321.5,17601.1
excavator_M,006,4940.0,,13145.2,3664.8,23337.3
excavator_M,007,4940.0,,18097.0,35715.1,303543.7
excavator_M,008,4940.0,,58919.9,3886.6,18947.5
excavator_M,009,4940.0,,23437.9,88716.3,444195.7
excavator_M,010,4940.0,,6149.5,13629.7,6460.4
excavator_M,011,4940.0,,14168.5,2179.3,42454.3
excavator_M,012,4940.0,,23640.0,17895.6,121743.5
excavator_M,013,4940.0,,212.0,1374.0,
excavator_S,014,294.0,,3082.6,7428.8,593.5
excavator_S,015,294.0,,1047.8,4637.9,2768.5
excavator_S,016,294.0,,876.9,454.6,247445.9
excavator_S,017,294.0,,14923.2,48293.8,228973.5
excavator_S,018,294.0,,7682.4,12483.8,1831.3
excavator_S,019,294.0,,89.6,0.0,
excavator_S,020,294.0,,180.6,13.3,2958.9
excavator_S,021,294.0,,668.6,306.2,178723.5
excavator_S,022,294.0,,437.1,297.0,10782.0
excavator_S,023,294.0,,292.3,37.2,
excavator_S,024,294.0,,258.7,1133.8,5184.7
